curr_epoch,train_acc,train_loss,val_acc,val_loss,bleu4
0,68.52380920118209,3.8005465123914455,73.52055993611093,3.4059584557280704,0.20350492581570326
1,73.76091265319597,3.4111612116909042,75.07454306409483,3.2978603098927257,0.22126241156386814
2,75.4013214057382,3.2935422551752462,75.82258925115171,3.2470550358270707,0.22720488261585525
3,76.47009006057007,3.218743911151354,76.10367327295491,3.225851639996482,0.23100152676012686
4,77.23634709597468,3.164302455806149,76.27002200546126,3.215329692401213,0.22989693027244434
5,77.86596114498015,3.118776076928723,76.44997157773228,3.204001802211423,0.23646528607777717
6,78.38167524239732,3.0819409537747497,76.49112283650744,3.2038248787761985,0.2352379370215502
7,78.8511333638011,3.048420217783278,76.68258081165627,3.197114082330732,0.23587680934278007
8,79.26452690176117,3.0175216561002562,76.56714804339714,3.206679133416343,0.23527501777819776
9,79.62673706280096,2.990165860805848,76.65154299783433,3.209257521211924,0.23773085710729222
10,80.00186625309348,2.9640995084856576,76.5852824964167,3.2142709747635556,0.2371119149935668
11,80.30593308343198,2.9401581345116585,76.67734971943909,3.211945902236264,0.2372704091327039
12,80.60282438619983,2.917493217875335,76.54726989297185,3.2196517919368866,0.23513522076820728
13,80.86733342613272,2.897378698082435,76.56540434599141,3.229823391748505,0.2364726705579166
14,81.22752643242625,2.8691597780160056,76.53053039787687,3.2319730909375717,0.23508749489986266
15,81.47606761379524,2.8494473987620523,76.45903880424207,3.2368267623883993,0.23588791569466505
16,81.71170516403933,2.8295894677360653,76.48484552584682,3.2495095204769386,0.23572588350120177
17,81.93571712776874,2.8125274868866774,76.38580351320154,3.2570650359578,0.23484852922736765
18,82.6290024353679,2.7554281383991928,76.4831018284411,3.259108364964741,0.23488013216376122
19,83.02769076124649,2.7244118650543445,76.33453880947316,3.2809286570250267,0.2347667735841239
20,83.28225261059859,2.7031829285843156,76.15912285045702,3.2940865279274196,0.2331285686669385
21,83.49636357813071,2.68571835285454,76.24944637607368,3.2975014490724157,0.23397744292238026
22,83.69021060943327,2.669754996368367,76.18458083258064,3.3084945510523265,0.233738969967761
23,83.86136080030846,2.6556564657348205,76.09181613059596,3.3211740330440804,0.23243213113471586
24,84.03956333373164,2.6419450356909717,76.01474470526283,3.3312706715881535,0.23095278290394858
25,84.17052441096001,2.6294871819814105,75.99626151276212,3.3313995018435802,0.23064687930862557
26,84.77932019113388,2.579058873822592,75.90454302922087,3.354494670325183,0.2301368390182031
27,85.09829240921572,2.5519447703215117,75.85432454393595,3.3770638887125446,0.22963081383836548
